Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
108,33875,99.9,62.98383307804439,1.1409265706904643,0,25,8,500,100.0,100.0,99.24,100.0,100.0,100.0,100.0,100.0
109,33875,99.79,62.69676226602044,1.1997728829281566,0,25,8,500,100.0,100.0,100.0,98.31,100.0,100.0,100.0,100.0
110,33875,99.75,61.32293199170955,1.1689237230855194,0,25,8,500,100.0,100.0,100.0,100.0,100.0,98.01,100.0,100.0
111,33875,98.33,62.379473448979326,1.148569511799753,0,25,8,500,100.0,98.55,100.0,94.12,93.96,100.0,100.0,100.0
112,33875,100.0,62.55905335148683,1.0956833061482785,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
113,33875,99.7,63.35534260229479,1.1522518924928555,0,25,8,500,100.0,100.0,100.0,100.0,100.0,97.62,100.0,100.0
114,36293,100.0,63.07457472360105,1.2015516310054315,0,19,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
115,34681,100.0,60.92022056271577,1.2325375799408953,0,23,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
116,36696,99.89,63.36160494614979,1.2635142181523114,0,18,8,500,100.0,100.0,100.0,100.0,100.0,99.15,100.0,100.0
117,33875,99.6,62.40764310664363,1.188492786437635,0,25,8,500,100.0,100.0,100.0,100.0,100.0,96.84,100.0,100.0
118,35084,100.0,63.53082271643373,1.1184147593720897,0,22,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
119,36293,97.21,63.38492484702682,1.2459703984248724,0,19,8,500,89.96,100.0,100.0,98.68,95.1,100.0,93.96,100.0
120,33875,99.44,62.303517753593816,1.2177249207986978,0,25,8,500,100.0,95.55,100.0,100.0,100.0,100.0,100.0,100.0
121,34278,100.0,61.92423589948692,1.1541188977957852,0,24,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
122,33875,100.0,62.13537672149192,1.1016454407862135,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
123,35890,100.0,62.137071661281325,1.169458710414934,0,20,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
124,33875,99.62,61.54848609646565,1.1772996242711862,0,25,8,500,100.0,98.44,100.0,98.49,100.0,100.0,100.0,100.0
125,33875,100.0,62.82023105239892,1.173791925936242,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
126,33875,100.0,62.832586279399166,1.1274355656573607,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
127,35890,99.74,62.03573288931531,1.1355144500863943,0,20,8,500,100.0,100.0,97.89,100.0,100.0,100.0,100.0,100.0
128,33875,100.0,61.83316504162244,1.1311362350420746,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
129,33875,100.0,63.01681872646575,1.18604919950169,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
130,34278,97.72,60.97149021357637,1.180144253576188,0,24,8,500,100.0,100.0,100.0,99.55,98.2,93.77,100.0,90.23
131,33875,100.0,61.83629328096359,1.095417927848637,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
132,33875,100.0,62.90732832586516,1.1939532401413986,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
133,33875,98.45,60.71253910634522,1.2246702077774487,0,25,8,500,100.0,100.0,100.0,100.0,100.0,96.92,100.0,90.66
134,34681,98.42,63.2841026229436,1.1115102741729084,0,23,8,500,93.56,99.0,100.0,94.76,100.0,100.0,100.0,100.0
135,34681,100.0,61.711639664162966,1.2209997634284389,0,23,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
136,33875,100.0,62.76792827847623,1.1559624590287034,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
137,33875,99.8,62.47113889029799,1.1243304989075682,0,25,8,500,100.0,100.0,100.0,98.83,100.0,100.0,99.58,100.0
138,33875,99.55,60.84132300311608,1.1873089951827345,0,25,8,500,100.0,100.0,96.94,100.0,100.0,99.44,100.0,100.0
139,33875,100.0,62.924190676040965,1.200343328334573,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
140,34278,99.63,62.83585086325633,1.1561676287942353,0,24,8,500,100.0,100.0,100.0,100.0,97.01,100.0,100.0,100.0
141,33875,99.72,63.10588110738219,1.15969098144286,0,25,8,500,100.0,100.0,100.0,100.0,100.0,98.44,100.0,99.36
142,33875,99.28,63.88097992134855,1.1016400610972188,0,25,8,500,100.0,100.0,100.0,100.0,100.0,95.41,100.0,98.84
143,33875,100.0,61.98717657385885,1.1989318667398243,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
144,33875,99.49,62.77287503531123,1.2327393798351245,0,25,8,500,100.0,100.0,100.0,100.0,100.0,95.9,100.0,100.0
145,33875,99.35,61.57643677122741,1.0672161042208468,0,25,8,500,100.0,100.0,100.0,100.0,100.0,97.6,100.0,97.2
146,33875,98.89,62.68622424348208,1.1118236258526122,0,25,8,500,100.0,100.0,98.58,92.55,100.0,100.0,100.0,100.0
147,33875,97.79,62.60160589362807,1.209619793121617,0,25,8,500,92.9,100.0,93.86,100.0,100.0,100.0,100.0,95.59
148,36696,99.68,61.65387413341673,1.079890785702145,0,18,8,500,100.0,100.0,98.5,100.0,100.0,100.0,100.0,98.93
149,34278,99.5,63.06749239684939,1.157973427090746,0,24,8,500,100.0,100.0,100.0,100.0,100.0,96.03,100.0,100.0
150,33875,94.75,62.51910378304312,1.1376519585790696,0,25,8,500,90.35,96.82,100.0,95.81,97.92,93.81,93.66,89.6
151,34278,97.09,63.1323929898691,1.1576049248141966,0,24,8,500,96.64,100.0,94.28,93.91,100.0,100.0,100.0,91.88
152,33875,100.0,62.00333089426929,1.2917727749034569,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
153,33875,99.22,62.078031979543866,1.1427760546992003,0,25,8,500,94.52,100.0,100.0,100.0,100.0,100.0,100.0,99.23
154,33875,100.0,63.81852533451122,1.2262043409487335,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
155,33875,99.5,61.79846907549875,1.0975777533798776,0,25,8,500,100.0,100.0,100.0,100.0,95.99,100.0,100.0,100.0
156,33875,99.39,62.639564177680725,1.177024365281612,0,25,8,500,100.0,100.0,100.0,100.0,100.0,95.1,100.0,100.0
157,34278,99.34,62.66501507358014,1.0997959203368426,0,24,8,500,100.0,100.0,96.77,97.94,100.0,100.0,100.0,100.0
158,33875,99.34,62.70481793192012,1.0992095757498164,0,25,8,500,100.0,100.0,100.0,100.0,99.26,95.42,100.0,100.0
159,34681,100.0,63.2334608239474,1.1246699824111803,0,23,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
160,33875,99.91,63.64870276055498,1.241277232249126,0,25,8,500,99.27,100.0,100.0,100.0,100.0,100.0,100.0,100.0
161,33875,99.04,62.37750518866999,1.2506189929075664,0,25,8,500,99.32,100.0,97.15,100.0,95.84,100.0,100.0,100.0
162,33875,98.72,62.868168491346815,1.196982743818218,0,25,8,500,100.0,99.22,100.0,100.0,90.52,100.0,100.0,100.0
163,33875,99.57,63.336777918331165,1.1692848437932857,0,25,8,500,100.0,100.0,100.0,100.0,100.0,96.56,100.0,100.0
164,33875,99.86,63.209748493064495,1.1724531352461185,0,25,8,500,100.0,100.0,98.92,100.0,100.0,100.0,100.0,100.0
165,34278,100.0,62.61350209448938,1.1001709937663944,0,24,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
166,34278,100.0,62.89675129841829,1.0741014126994886,0,24,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
167,33875,99.25,61.58092500247001,1.1242961094784525,0,25,8,500,100.0,100.0,100.0,97.94,97.99,100.0,100.0,98.06
168,33875,99.75,63.36386258696899,1.1335067975868254,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,97.97,100.0
169,33875,99.52,62.42545522981919,1.208151931652656,0,25,8,500,100.0,98.67,100.0,100.0,100.0,100.0,100.0,97.45
170,33875,99.91,61.64306671361023,1.206122172755887,0,25,8,500,99.29,100.0,100.0,100.0,100.0,100.0,100.0,100.0
171,33875,98.22,63.30544744787503,1.164449859212917,0,25,8,500,94.13,100.0,91.66,100.0,100.0,100.0,100.0,100.0
172,33875,99.63,62.551686099811846,1.2016799012271215,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,97.02,100.0
173,35084,100.0,61.24314989260248,1.150888915795777,0,22,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
174,36293,100.0,62.3351987275752,1.1918188715043418,0,19,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
